
============================================================
Step 0: Entering Phase 1: Easy (0.0-1.0)
Training pool: 1293581 puzzles
============================================================

Step 16700 | Loss: 0.5222 Acc: 92.78%
Step 16800 | Loss: 0.5166 Acc: 92.91%
Step 16900 | Loss: 0.5014 Acc: 93.76%
Step 17000 | Loss: 0.5054 Acc: 94.27%
Step 17100 | Loss: 0.4960 Acc: 93.77%
Step 17200 | Loss: 0.4930 Acc: 94.92%
Step 17300 | Loss: 0.5208 Acc: 93.00%
Step 17400 | Loss: 0.4613 Acc: 94.96%
Step 17500 | Loss: 0.6054 Acc: 89.89%
Step 17600 | Loss: 0.5230 Acc: 93.75%
Step 17700 | Loss: 0.5099 Acc: 93.87%
Step 17800 | Loss: 0.4862 Acc: 95.16%
Step 17900 | Loss: 0.4948 Acc: 94.16%
Step 18000 | Loss: 0.5140 Acc: 93.54%
Step 18100 | Loss: 0.5059 Acc: 93.94%
Step 18200 | Loss: 0.4896 Acc: 94.29%
Step 18300 | Loss: 0.4660 Acc: 95.42%
Step 18400 | Loss: 0.4905 Acc: 94.33%
Step 18500 | Loss: 0.5308 Acc: 93.15%
Step 18600 | Loss: 0.4754 Acc: 94.59%
Step 18700 | Loss: 0.5075 Acc: 93.07%
Step 18800 | Loss: 0.4757 Acc: 94.64%
Step 18900 | Loss: 0.5055 Acc: 93.29%
Step 19000 | Loss: 0.4793 Acc: 95.18%
Step 19100 | Loss: 0.4923 Acc: 94.13%
Step 19200 | Loss: 0.7155 Acc: 86.14%
Step 19300 | Loss: 0.5011 Acc: 93.95%
Step 19400 | Loss: 0.4898 Acc: 93.63%
Step 19500 | Loss: 0.5003 Acc: 93.62%
Step 19600 | Loss: 0.4939 Acc: 93.95%
Step 19700 | Loss: 0.4962 Acc: 93.57%
Step 19800 | Loss: 0.4657 Acc: 94.83%
Step 19900 | Loss: 0.5210 Acc: 93.77%

============================================================
Step 20000: Entering Phase 2: Easy+Medium (0.0-2.0)
Training pool: 2105500 puzzles
============================================================

Step 20000 | Loss: 0.5587 Acc: 90.98% | 0.0: 472/500 | 1.x: 337/500 | 2.x: 259/500 | 3.x: 195/500 | 4.x+: 133/500 | Total: 1396/2500
Step 20100 | Loss: 0.5241 Acc: 92.32%
Step 20200 | Loss: 0.5265 Acc: 91.61%
Step 20300 | Loss: 0.5523 Acc: 90.64%
Step 20400 | Loss: 0.5369 Acc: 91.98%
Step 20500 | Loss: 0.5753 Acc: 90.14%
Step 20600 | Loss: 0.5041 Acc: 92.35%
Step 20700 | Loss: 0.5901 Acc: 89.16%
Step 20800 | Loss: 0.5339 Acc: 91.37%
Step 20900 | Loss: 0.5247 Acc: 92.15%
Step 21000 | Loss: 0.5073 Acc: 93.06%
Step 21100 | Loss: 0.5454 Acc: 91.16%
Step 21200 | Loss: 0.5145 Acc: 92.24%
Step 21300 | Loss: 0.5469 Acc: 90.85%
Step 21400 | Loss: 0.5305 Acc: 91.21%
Step 21500 | Loss: 0.5163 Acc: 92.07%
Step 21600 | Loss: 0.5601 Acc: 90.51%
Step 21700 | Loss: 0.5025 Acc: 92.63%
Step 21800 | Loss: 0.4911 Acc: 93.71%
Step 21900 | Loss: 0.5687 Acc: 90.46%
