
============================================================
Step 0: Entering Phase 1: Hard only (rating 21+)
Training pool: 281294 puzzles
============================================================

Step 21800 | Loss: 0.7608 Acc: 76.34%
Step 21900 | Loss: 0.7555 Acc: 75.99%
Step 22000 | Loss: 0.7536 Acc: 75.79%
Step 22100 | Loss: 0.7536 Acc: 77.03%
Step 22200 | Loss: 0.7512 Acc: 75.57%
Step 22300 | Loss: 0.7734 Acc: 74.22%
Step 22400 | Loss: 0.7420 Acc: 75.67%
Step 22500 | Loss: 0.7591 Acc: 74.93%
Step 22600 | Loss: 0.7842 Acc: 73.42%
Step 22700 | Loss: 0.7660 Acc: 75.01%
Step 22800 | Loss: 0.7284 Acc: 77.19%
Step 22900 | Loss: 0.7517 Acc: 75.35%
Step 23000 | Loss: 0.7672 Acc: 74.87%
Step 23100 | Loss: 0.7601 Acc: 75.90%
Step 23200 | Loss: 0.7397 Acc: 76.51%
Step 23300 | Loss: 0.7487 Acc: 75.66%
Step 23400 | Loss: 0.7565 Acc: 75.66%
Step 23500 | Loss: 0.7481 Acc: 76.71%
Step 23600 | Loss: 0.7762 Acc: 74.28%
Step 23700 | Loss: 0.7382 Acc: 77.11%
Step 23800 | Loss: 0.7861 Acc: 74.65%
Step 23900 | Loss: 0.7696 Acc: 74.43%
Step 24000 | Loss: 0.7304 Acc: 77.14%
Step 24100 | Loss: 0.7469 Acc: 76.14%
Step 24200 | Loss: 0.7725 Acc: 74.76%
Step 24300 | Loss: 0.7622 Acc: 76.24%
Step 24400 | Loss: 0.7255 Acc: 77.57%
Step 24500 | Loss: 0.7759 Acc: 74.55%
Step 24600 | Loss: 0.7624 Acc: 74.96%
Step 24700 | Loss: 0.7291 Acc: 77.06%
Step 24800 | Loss: 0.7611 Acc: 75.18%
Step 24900 | Loss: 0.7596 Acc: 75.03%
Step 25000 | Loss: 0.7949 Acc: 73.87% | 0: 4612/5000 | 1-2: 3281/5000 | 3-10: 2302/5000 | 11-50: 2629/5000 | 51+: 3081/5000 | Total: 15905/25000 (63.6%)
Step 25100 | Loss: 0.7433 Acc: 76.91%
Step 25200 | Loss: 0.7700 Acc: 74.73%
Step 25300 | Loss: 0.7598 Acc: 75.39%
Step 25400 | Loss: 0.7436 Acc: 77.03%
Step 25500 | Loss: 0.7408 Acc: 76.93%
Step 25600 | Loss: 0.7878 Acc: 73.39%
Step 25700 | Loss: 0.7201 Acc: 77.14%
Step 25800 | Loss: 0.7405 Acc: 76.72%
Step 25900 | Loss: 0.8017 Acc: 72.93%
Step 26000 | Loss: 0.7613 Acc: 75.88%
Step 26100 | Loss: 0.7511 Acc: 75.89%
Step 26200 | Loss: 0.7783 Acc: 75.54%
Step 26300 | Loss: 0.7420 Acc: 76.02%
Step 26400 | Loss: 0.7603 Acc: 75.79%
Step 26500 | Loss: 0.7582 Acc: 75.91%
Step 26600 | Loss: 0.7363 Acc: 76.61%
Step 26700 | Loss: 0.7782 Acc: 74.03%
Step 26800 | Loss: 0.7644 Acc: 75.55%
Step 26900 | Loss: 0.7509 Acc: 75.32%
Step 27000 | Loss: 0.7348 Acc: 75.82%
Step 27100 | Loss: 0.7637 Acc: 75.64%
Step 27200 | Loss: 0.7725 Acc: 74.09%
Step 27300 | Loss: 0.7554 Acc: 75.50%
