
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step 23200 | Loss: 0.6632 Acc: 83.02%
Step 23300 | Loss: 0.6713 Acc: 82.87%
Step 23400 | Loss: 0.6730 Acc: 82.74%
Step 23500 | Loss: 0.7697 Acc: 77.73%
Step 23600 | Loss: 0.6857 Acc: 82.44%
Step 23700 | Loss: 0.6925 Acc: 82.15%
Step 23800 | Loss: 0.6507 Acc: 84.19%
Step 23900 | Loss: 0.6843 Acc: 81.61%
Step 24000 | Loss: 0.6862 Acc: 81.43%
Step 24100 | Loss: 0.6484 Acc: 83.78%
Step 24200 | Loss: 0.7482 Acc: 79.63%
Step 24300 | Loss: 0.6560 Acc: 83.78%
Step 24400 | Loss: 0.6614 Acc: 83.10%
Step 24500 | Loss: 0.6894 Acc: 81.17%
Step 24600 | Loss: 0.7009 Acc: 81.12%
Step 24700 | Loss: 0.6911 Acc: 81.91%
Step 24800 | Loss: 0.6381 Acc: 85.00%
Step 24900 | Loss: 0.6907 Acc: 81.72%
Step 25000 | Loss: 0.7407 Acc: 78.84% | 0.0: 483/500 | 1.x: 411/500 | 2.x: 359/500 | 3.x: 324/500 | 4.x+: 253/500 | Total: 1830/2500
Step 25100 | Loss: 0.6896 Acc: 81.63%
Step 25200 | Loss: 0.6803 Acc: 82.66%
Step 25300 | Loss: 0.6581 Acc: 83.14%
Step 25400 | Loss: 0.6557 Acc: 82.97%
Step 25500 | Loss: 0.6793 Acc: 82.18%
Step 25600 | Loss: 0.6689 Acc: 83.13%
Step 25700 | Loss: 0.6614 Acc: 83.72%
Step 25800 | Loss: 0.6991 Acc: 82.42%
Step 25900 | Loss: 0.6769 Acc: 83.08%
Step 26000 | Loss: 0.6442 Acc: 84.04%
Step 26100 | Loss: 0.6795 Acc: 82.02%
Step 26200 | Loss: 0.7032 Acc: 81.07%
Step 26300 | Loss: 0.6964 Acc: 81.64%
Step 26400 | Loss: 0.6958 Acc: 80.88%
Step 26500 | Loss: 0.6453 Acc: 84.64%
Step 26600 | Loss: 0.6755 Acc: 83.30%
Step 26700 | Loss: 0.6902 Acc: 82.16%
Step 26800 | Loss: 0.6692 Acc: 81.93%
Step 26900 | Loss: 0.6681 Acc: 82.43%
Step 27000 | Loss: 0.7048 Acc: 80.96%
Step 27100 | Loss: 0.6853 Acc: 81.88%
Step 27200 | Loss: 0.6784 Acc: 82.97%
Step 27300 | Loss: 0.6707 Acc: 82.47%
Step 27400 | Loss: 0.6816 Acc: 81.88%
Step 27500 | Loss: 0.6739 Acc: 82.71%
Step 27600 | Loss: 0.7897 Acc: 78.32%
Step 27700 | Loss: 0.6701 Acc: 82.74%
Step 27800 | Loss: 0.6845 Acc: 81.83%
Step 27900 | Loss: 0.6927 Acc: 82.34%
Step 28000 | Loss: 0.6889 Acc: 82.62%
Step 28100 | Loss: 0.6977 Acc: 81.94%
Step 28200 | Loss: 0.6478 Acc: 84.10%
Step 28300 | Loss: 0.6815 Acc: 81.90%
Step 28400 | Loss: 0.6781 Acc: 82.99%
Step 28500 | Loss: 0.6719 Acc: 83.39%
Step 28600 | Loss: 0.6889 Acc: 81.66%
Step 28700 | Loss: 0.6953 Acc: 80.81%
Step 28800 | Loss: 0.6634 Acc: 82.57%
Step 28900 | Loss: 0.6819 Acc: 81.83%
Step 29000 | Loss: 0.6640 Acc: 82.56%
Step 29100 | Loss: 0.6081 Acc: 86.54%
Step 29200 | Loss: 0.6649 Acc: 83.61%
Step 29300 | Loss: 0.6884 Acc: 82.17%
Step 29400 | Loss: 0.7101 Acc: 80.96%
Step 29500 | Loss: 0.6378 Acc: 84.33%
Step 29600 | Loss: 0.6939 Acc: 81.67%
Step 29700 | Loss: 0.6807 Acc: 82.21%
Step 29800 | Loss: 0.6906 Acc: 80.72%
Step 29900 | Loss: 0.6710 Acc: 82.81%
