
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step 25000 | Loss: 0.7405 Acc: 77.01% | 0.0: 439/500 | 1.x: 295/500 | 2.x: 235/500 | 3.x: 166/500 | 4.x+: 127/500 | Total: 1262/2500
Step 25100 | Loss: 0.7676 Acc: 75.85%
Step 25200 | Loss: 0.7661 Acc: 74.67%
Step 25300 | Loss: 0.7582 Acc: 75.18%
Step 25400 | Loss: 0.7522 Acc: 76.76%
Step 25500 | Loss: 0.7784 Acc: 74.86%
Step 25600 | Loss: 0.7384 Acc: 76.62%
Step 25700 | Loss: 0.7889 Acc: 73.07%
Step 25800 | Loss: 0.7813 Acc: 72.49%
Step 25900 | Loss: 0.7489 Acc: 77.08%
Step 26000 | Loss: 0.7720 Acc: 75.88%
Step 26100 | Loss: 0.7675 Acc: 75.01%
Step 26200 | Loss: 0.7513 Acc: 75.87%
Step 26300 | Loss: 0.7217 Acc: 79.02%
Step 26400 | Loss: 0.7673 Acc: 75.21%
Step 26500 | Loss: 0.7670 Acc: 75.01%
Step 26600 | Loss: 0.8030 Acc: 74.40%
Step 26700 | Loss: 0.7485 Acc: 76.76%
Step 26800 | Loss: 0.7635 Acc: 78.54%
Step 26900 | Loss: 0.7649 Acc: 75.38%
Step 27000 | Loss: 0.7837 Acc: 76.39%
Step 27100 | Loss: 0.7442 Acc: 77.51%
Step 27200 | Loss: 0.7700 Acc: 76.38%
Step 27300 | Loss: 0.7644 Acc: 77.45%
Step 27400 | Loss: 0.7363 Acc: 76.88%
Step 27500 | Loss: 0.7688 Acc: 75.85%
Step 27600 | Loss: 0.7462 Acc: 76.56%
Step 27700 | Loss: 0.7872 Acc: 76.07%
Step 27800 | Loss: 0.7630 Acc: 75.63%
Step 27900 | Loss: 0.7677 Acc: 77.36%
Step 28000 | Loss: 0.7712 Acc: 74.33%
Step 28100 | Loss: 0.7257 Acc: 77.87%
Step 28200 | Loss: 0.7711 Acc: 76.42%
Step 28300 | Loss: 0.7559 Acc: 75.62%
Step 28400 | Loss: 0.7817 Acc: 75.05%
Step 28500 | Loss: 0.7788 Acc: 73.62%
Step 28600 | Loss: 0.7448 Acc: 78.39%
Step 28700 | Loss: 0.7541 Acc: 76.14%
Step 28800 | Loss: 0.7443 Acc: 78.90%
Step 28900 | Loss: 0.7623 Acc: 75.66%
Step 29000 | Loss: 0.7890 Acc: 74.31%
Step 29100 | Loss: 0.7707 Acc: 74.92%
Step 29200 | Loss: 0.8428 Acc: 69.86%
Step 29300 | Loss: 0.7600 Acc: 75.94%
Step 29400 | Loss: 0.7904 Acc: 75.98%
Step 29500 | Loss: 0.7717 Acc: 76.66%
Step 29600 | Loss: 0.7343 Acc: 78.34%
Step 29700 | Loss: 0.8252 Acc: 72.70%
Step 29800 | Loss: 0.7420 Acc: 76.49%
Step 29900 | Loss: 0.7813 Acc: 74.74%
Step 30000 | Loss: 0.7740 Acc: 75.34% | 0.0: 447/500 | 1.x: 329/500 | 2.x: 234/500 | 3.x: 189/500 | 4.x+: 134/500 | Total: 1333/2500
Step 30100 | Loss: 0.7722 Acc: 76.59%
Step 30200 | Loss: 0.8114 Acc: 72.52%
Step 30300 | Loss: 0.7604 Acc: 75.35%
Step 30400 | Loss: 0.7472 Acc: 77.00%
Step 30500 | Loss: 0.7911 Acc: 76.32%
Step 30600 | Loss: 0.7680 Acc: 76.70%
Step 30700 | Loss: 0.7739 Acc: 74.98%
Step 30800 | Loss: 0.7571 Acc: 77.48%
Step 30900 | Loss: 0.7341 Acc: 77.11%
Step 31000 | Loss: 0.7437 Acc: 76.77%
Step 31100 | Loss: 0.7555 Acc: 77.46%
Step 31200 | Loss: 0.7720 Acc: 75.27%
Step 31300 | Loss: 0.7754 Acc: 76.97%
Step 31400 | Loss: 0.7723 Acc: 75.70%
Step 31500 | Loss: 0.7313 Acc: 77.45%
Step 31600 | Loss: 0.7229 Acc: 78.84%
Step 31700 | Loss: 0.7350 Acc: 77.37%
Step 31800 | Loss: 0.7574 Acc: 77.88%
Step 31900 | Loss: 0.7555 Acc: 76.22%
Step 32000 | Loss: 0.7330 Acc: 77.52%
Step 32100 | Loss: 0.7437 Acc: 77.24%
Step 32200 | Loss: 0.7352 Acc: 78.12%
Step 32300 | Loss: 0.7378 Acc: 78.91%
Step 32400 | Loss: 0.7565 Acc: 77.17%
Step 32500 | Loss: 0.7599 Acc: 76.90%
Step 32600 | Loss: 0.7330 Acc: 79.32%
Step 32700 | Loss: 0.7465 Acc: 77.45%
Step 32800 | Loss: 0.7425 Acc: 78.48%
Step 32900 | Loss: 0.7376 Acc: 78.63%
Step 33000 | Loss: 0.7767 Acc: 76.39%
Step 33100 | Loss: 0.7850 Acc: 74.37%
Step 33200 | Loss: 0.7996 Acc: 76.07%
Step 33300 | Loss: 0.7574 Acc: 78.10%
Step 33400 | Loss: 0.7425 Acc: 78.42%
Step 33500 | Loss: 0.8307 Acc: 71.09%
Step 33600 | Loss: 0.7829 Acc: 75.74%
Step 33700 | Loss: 0.7588 Acc: 77.41%
Step 33800 | Loss: 0.7168 Acc: 80.37%
Step 33900 | Loss: 0.7757 Acc: 77.52%
Step 34000 | Loss: 0.7461 Acc: 77.22%
Step 34100 | Loss: 0.7540 Acc: 77.11%
Step 34200 | Loss: 0.7637 Acc: 77.15%
Step 34300 | Loss: 0.7795 Acc: 74.59%
Step 34400 | Loss: 0.7684 Acc: 75.97%
Step 34500 | Loss: 0.7510 Acc: 77.90%
Step 34600 | Loss: 0.7412 Acc: 77.74%
Step 34700 | Loss: 0.8008 Acc: 74.39%
Step 34800 | Loss: 0.7575 Acc: 77.81%
Step 34900 | Loss: 0.7448 Acc: 77.21%
Step 35000 | Loss: 0.7448 Acc: 78.81% | 0.0: 459/500 | 1.x: 358/500 | 2.x: 303/500 | 3.x: 219/500 | 4.x+: 176/500 | Total: 1515/2500
Step 35100 | Loss: 0.7810 Acc: 76.62%
Step 35200 | Loss: 0.7875 Acc: 76.08%
Step 35300 | Loss: 0.8161 Acc: 72.99%
Step 35400 | Loss: 0.7879 Acc: 73.91%
Step 35500 | Loss: 0.7479 Acc: 75.86%
Step 35600 | Loss: 0.7515 Acc: 78.04%
Step 35700 | Loss: 0.7388 Acc: 77.98%
Step 35800 | Loss: 0.7413 Acc: 78.62%
Step 35900 | Loss: 0.7464 Acc: 78.53%
Step 36000 | Loss: 0.7395 Acc: 78.30%
Step 36100 | Loss: 0.7795 Acc: 75.97%
Step 36200 | Loss: 0.7254 Acc: 79.24%
Step 36300 | Loss: 0.8693 Acc: 69.83%
Step 36400 | Loss: 0.6958 Acc: 80.86%
Step 36500 | Loss: 0.7285 Acc: 79.61%
Step 36600 | Loss: 0.7575 Acc: 76.98%
Step 36700 | Loss: 0.7176 Acc: 80.82%
Step 36800 | Loss: 0.7724 Acc: 76.46%
Step 36900 | Loss: 0.7601 Acc: 77.05%
Step 37000 | Loss: 0.8011 Acc: 74.24%
Step 37100 | Loss: 0.7182 Acc: 79.69%
Step 37200 | Loss: 0.7412 Acc: 78.03%
Step 37300 | Loss: 0.7122 Acc: 80.75%
Step 37400 | Loss: 0.7283 Acc: 79.57%
Step 37500 | Loss: 0.7306 Acc: 79.69%
Step 37600 | Loss: 0.6910 Acc: 81.46%
Step 37700 | Loss: 0.7432 Acc: 78.25%
Step 37800 | Loss: 0.7212 Acc: 80.54%
Step 37900 | Loss: 0.7772 Acc: 74.86%
