Step 43200 | Loss: 0.4812 Acc: 92.58%
Step 43300 | Loss: 0.4919 Acc: 92.16%
Step 43400 | Loss: 0.5247 Acc: 89.84%
Step 43500 | Loss: 0.4945 Acc: 91.39%
Step 43600 | Loss: 0.5257 Acc: 89.54%
Step 43700 | Loss: 0.5025 Acc: 90.54%
Step 43800 | Loss: 0.5221 Acc: 90.52%
Step 43900 | Loss: 0.4976 Acc: 91.28%
Step 44000 | Loss: 0.5031 Acc: 91.50%
Step 44100 | Loss: 0.4743 Acc: 92.56%
Step 44200 | Loss: 0.5772 Acc: 87.89%
Step 44300 | Loss: 0.5026 Acc: 91.09%
Step 44400 | Loss: 0.5272 Acc: 90.66%
Step 44500 | Loss: 0.5608 Acc: 89.66%
Step 44600 | Loss: 0.5515 Acc: 89.86%
Step 44700 | Loss: 0.5169 Acc: 90.47%
Step 44800 | Loss: 0.5212 Acc: 90.88%
Step 44900 | Loss: 0.5145 Acc: 91.69%
Step 45000 | Loss: 0.5026 Acc: 90.87% | 0.0: 489/500 | 1.x: 416/500 | 2.x: 359/500 | 3.x: 274/500 | 4.x+: 225/500 | Total: 1763/2500
Step 45100 | Loss: 0.5297 Acc: 90.24%
Step 45200 | Loss: 0.5031 Acc: 90.58%
Step 45300 | Loss: 0.5347 Acc: 90.13%
Step 45400 | Loss: 0.4975 Acc: 91.35%
Step 45500 | Loss: 0.4951 Acc: 90.58%
Step 45600 | Loss: 0.4837 Acc: 91.94%
Step 45700 | Loss: 0.4798 Acc: 91.30%
Step 45800 | Loss: 0.4909 Acc: 91.25%
Step 45900 | Loss: 0.4925 Acc: 91.35%
Step 46000 | Loss: 0.4981 Acc: 91.54%
Step 46100 | Loss: 0.5152 Acc: 90.40%
Step 46200 | Loss: 0.4917 Acc: 91.96%
Step 46300 | Loss: 0.4777 Acc: 91.25%
Step 46400 | Loss: 0.5225 Acc: 90.59%
Step 46500 | Loss: 0.5083 Acc: 91.50%
Step 46600 | Loss: 0.4941 Acc: 91.60%
Step 46700 | Loss: 0.4945 Acc: 91.14%
Step 46800 | Loss: 0.4678 Acc: 92.91%
Step 46900 | Loss: 0.5157 Acc: 90.81%
Step 47000 | Loss: 0.4983 Acc: 91.75%
Step 47100 | Loss: 0.4919 Acc: 91.54%
Step 47200 | Loss: 0.5008 Acc: 91.57%
Step 47300 | Loss: 0.5100 Acc: 90.50%
Step 47400 | Loss: 0.4933 Acc: 91.53%
Step 47500 | Loss: 0.4650 Acc: 92.83%
Step 47600 | Loss: 0.4969 Acc: 91.59%
Step 47700 | Loss: 0.5055 Acc: 90.94%
Step 47800 | Loss: 0.5097 Acc: 90.60%
Step 47900 | Loss: 0.4961 Acc: 90.84%
Step 48000 | Loss: 0.5000 Acc: 91.11%
Step 48100 | Loss: 0.4907 Acc: 91.97%
Step 48200 | Loss: 0.5077 Acc: 90.84%
Step 48300 | Loss: 0.5029 Acc: 90.78%
Step 48400 | Loss: 0.4914 Acc: 90.61%
Step 48500 | Loss: 0.4691 Acc: 91.56%
Step 48600 | Loss: 0.4995 Acc: 91.57%
Step 48700 | Loss: 0.4933 Acc: 91.62%
Step 48800 | Loss: 0.4766 Acc: 91.42%
Step 48900 | Loss: 0.4953 Acc: 91.35%
Step 49000 | Loss: 0.5101 Acc: 90.26%
Step 49100 | Loss: 0.4840 Acc: 92.02%
Step 49200 | Loss: 0.5106 Acc: 91.10%
Step 49300 | Loss: 0.5137 Acc: 90.83%
